,0
1,BraTS2021_00811
2,BraTS2021_01554
3,BraTS2021_01228
4,BraTS2021_00808
5,BraTS2021_01233
6,BraTS2021_01185
7,BraTS2021_00496
8,BraTS2021_00306
9,BraTS2021_00524
10,BraTS2021_00313
11,BraTS2021_01606
12,BraTS2021_00243
13,BraTS2021_00049
14,BraTS2021_00194
15,BraTS2021_00156
16,BraTS2021_00297
17,BraTS2021_01329
18,BraTS2021_00293
19,BraTS2021_00569
20,BraTS2021_00406
21,BraTS2021_01004
22,BraTS2021_01591
23,BraTS2021_01482
24,BraTS2021_01399
25,BraTS2021_01079
26,BraTS2021_01281
27,BraTS2021_01505
28,BraTS2021_01297
29,BraTS2021_00729
30,BraTS2021_01579
31,BraTS2021_00370
32,BraTS2021_01432
33,BraTS2021_00563
34,BraTS2021_01144
35,BraTS2021_00760
36,BraTS2021_01404
37,BraTS2021_01087
38,BraTS2021_00791
39,BraTS2021_00804
40,BraTS2021_00421
41,BraTS2021_00094
42,BraTS2021_01655
43,BraTS2021_01309
44,BraTS2021_00618
45,BraTS2021_01357
46,BraTS2021_00561
47,BraTS2021_00705
48,BraTS2021_00657
49,BraTS2021_00237
50,BraTS2021_01044
51,BraTS2021_01061
52,BraTS2021_00099
53,BraTS2021_01477
54,BraTS2021_01351
55,BraTS2021_01446
56,BraTS2021_00108
57,BraTS2021_00160
58,BraTS2021_00840
59,BraTS2021_00557
60,BraTS2021_00773
61,BraTS2021_00624
62,BraTS2021_00046
63,BraTS2021_00274
64,BraTS2021_00322
65,BraTS2021_01342
66,BraTS2021_01303
67,BraTS2021_00831
68,BraTS2021_01202
69,BraTS2021_01460
70,BraTS2021_01080
71,BraTS2021_01165
72,BraTS2021_00059
73,BraTS2021_01117
74,BraTS2021_00061
75,BraTS2021_00019
76,BraTS2021_01365
77,BraTS2021_00053
78,BraTS2021_01140
79,BraTS2021_00507
80,BraTS2021_00470
81,BraTS2021_01474
82,BraTS2021_01176
83,BraTS2021_00025
84,BraTS2021_01500
85,BraTS2021_00375
86,BraTS2021_01363
87,BraTS2021_01323
88,BraTS2021_01036
89,BraTS2021_00591
90,BraTS2021_01546
91,BraTS2021_00658
92,BraTS2021_00693
93,BraTS2021_01349
94,BraTS2021_01362
95,BraTS2021_01064
96,BraTS2021_00809
97,BraTS2021_01483
98,BraTS2021_01047
99,BraTS2021_00241
100,BraTS2021_00281
101,BraTS2021_01119
102,BraTS2021_01009
103,BraTS2021_01283
104,BraTS2021_01330
105,BraTS2021_01640
106,BraTS2021_01053
107,BraTS2021_01567
108,BraTS2021_01332
109,BraTS2021_00155
110,BraTS2021_00650
111,BraTS2021_00366
112,BraTS2021_01538
113,BraTS2021_00799
114,BraTS2021_01259
115,BraTS2021_00545
116,BraTS2021_00413
117,BraTS2021_00280
118,BraTS2021_00249
119,BraTS2021_01021
120,BraTS2021_00115
121,BraTS2021_00290
122,BraTS2021_01220
123,BraTS2021_01129
124,BraTS2021_01324
125,BraTS2021_01072
126,BraTS2021_01051
127,BraTS2021_01541
128,BraTS2021_00068
129,BraTS2021_00571
130,BraTS2021_00787
131,BraTS2021_00376
132,BraTS2021_00101
133,BraTS2021_00537
134,BraTS2021_01090
135,BraTS2021_00466
136,BraTS2021_00584
137,BraTS2021_01620
138,BraTS2021_01296
139,BraTS2021_01263
140,BraTS2021_01428
141,BraTS2021_01289
142,BraTS2021_01427
143,BraTS2021_00649
144,BraTS2021_01005
145,BraTS2021_00548
146,BraTS2021_01384
147,BraTS2021_00533
148,BraTS2021_00246
149,BraTS2021_00555
150,BraTS2021_01595
151,BraTS2021_01155
152,BraTS2021_01291
153,BraTS2021_00409
154,BraTS2021_01582
155,BraTS2021_01367
156,BraTS2021_00596
157,BraTS2021_00613
158,BraTS2021_01504
159,BraTS2021_01335
160,BraTS2021_00512
161,BraTS2021_01029
162,BraTS2021_01581
163,BraTS2021_00060
164,BraTS2021_01448
165,BraTS2021_00505
166,BraTS2021_01559
167,BraTS2021_00251
168,BraTS2021_00186
169,BraTS2021_01386
170,BraTS2021_01521
171,BraTS2021_01076
172,BraTS2021_01002
173,BraTS2021_01182
174,BraTS2021_01255
175,BraTS2021_00456
176,BraTS2021_01657
177,BraTS2021_01248
178,BraTS2021_00551
179,BraTS2021_01290
180,BraTS2021_00348
181,BraTS2021_01407
182,BraTS2021_00631
183,BraTS2021_00177
184,BraTS2021_00697
185,BraTS2021_01346
186,BraTS2021_00098
187,BraTS2021_00157
188,BraTS2021_01590
189,BraTS2021_01348
190,BraTS2021_00556
191,BraTS2021_00294
192,BraTS2021_01400
193,BraTS2021_01347
194,BraTS2021_01091
195,BraTS2021_00222
196,BraTS2021_01534
197,BraTS2021_01213
198,BraTS2021_01250
199,BraTS2021_00356
200,BraTS2021_01261
201,BraTS2021_01212
202,BraTS2021_00048
203,BraTS2021_00299
204,BraTS2021_00731
205,BraTS2021_01353
206,BraTS2021_00017
207,BraTS2021_01526
208,BraTS2021_01344
209,BraTS2021_00008
210,BraTS2021_01042
211,BraTS2021_00117
212,BraTS2021_00723
213,BraTS2021_00172
214,BraTS2021_00724
215,BraTS2021_00621
216,BraTS2021_01665
217,BraTS2021_01020
218,BraTS2021_01301
219,BraTS2021_00732
220,BraTS2021_01012
221,BraTS2021_00260
222,BraTS2021_01491
223,BraTS2021_01238
224,BraTS2021_00818
225,BraTS2021_00778
226,BraTS2021_01136
227,BraTS2021_00218
228,BraTS2021_01562
229,BraTS2021_01337
230,BraTS2021_01265
231,BraTS2021_01295
232,BraTS2021_00528
233,BraTS2021_01339
234,BraTS2021_01634
235,BraTS2021_00599
236,BraTS2021_01650
237,BraTS2021_00775
238,BraTS2021_00606
239,BraTS2021_01548
240,BraTS2021_00395
241,BraTS2021_00742
242,BraTS2021_00275
243,BraTS2021_00442
244,BraTS2021_01269
245,BraTS2021_00397
246,BraTS2021_01016
247,BraTS2021_00491
248,BraTS2021_01454
249,BraTS2021_00683
250,BraTS2021_01373
251,BraTS2021_01436
252,BraTS2021_00120
253,BraTS2021_00645
254,BraTS2021_01381
255,BraTS2021_01089
256,BraTS2021_01209
257,BraTS2021_00032
258,BraTS2021_01376
259,BraTS2021_00568
260,BraTS2021_01485
261,BraTS2021_00572
262,BraTS2021_00514
263,BraTS2021_01599
264,BraTS2021_01141
265,BraTS2021_00058
266,BraTS2021_01116
267,BraTS2021_00426
268,BraTS2021_01396
269,BraTS2021_00446
270,BraTS2021_01070
271,BraTS2021_00285
272,BraTS2021_00559
273,BraTS2021_01038
274,BraTS2021_00418
275,BraTS2021_00121
276,BraTS2021_01235
277,BraTS2021_00417
278,BraTS2021_01187
279,BraTS2021_00300
280,BraTS2021_00684
281,BraTS2021_00310
282,BraTS2021_01003
283,BraTS2021_00451
284,BraTS2021_01434
285,BraTS2021_00552
286,BraTS2021_01628
287,BraTS2021_01034
288,BraTS2021_00480
289,BraTS2021_01178
290,BraTS2021_00594
291,BraTS2021_01416
292,BraTS2021_00188
293,BraTS2021_00703
294,BraTS2021_01125
295,BraTS2021_01610
296,BraTS2021_01623
297,BraTS2021_00378
298,BraTS2021_00620
299,BraTS2021_01184
300,BraTS2021_00707
301,BraTS2021_01251
302,BraTS2021_01425
303,BraTS2021_01150
304,BraTS2021_01242
305,BraTS2021_00780
306,BraTS2021_00523
307,BraTS2021_01493
308,BraTS2021_01270
309,BraTS2021_01613
310,BraTS2021_01522
311,BraTS2021_01502
312,BraTS2021_00540
313,BraTS2021_01414
314,BraTS2021_01015
315,BraTS2021_00152
316,BraTS2021_01461
317,BraTS2021_00581
318,BraTS2021_00481
319,BraTS2021_01550
320,BraTS2021_00642
321,BraTS2021_01596
322,BraTS2021_00604
323,BraTS2021_01278
324,BraTS2021_00819
325,BraTS2021_01361
326,BraTS2021_00184
327,BraTS2021_01308
328,BraTS2021_00652
329,BraTS2021_00317
330,BraTS2021_01028
331,BraTS2021_00304
332,BraTS2021_01437
333,BraTS2021_01322
334,BraTS2021_01467
335,BraTS2021_00221
336,BraTS2021_01410
337,BraTS2021_00074
338,BraTS2021_00359
339,BraTS2021_00353
340,BraTS2021_01570
341,BraTS2021_00106
342,BraTS2021_01312
343,BraTS2021_01229
344,BraTS2021_00690
345,BraTS2021_00052
346,BraTS2021_01632
347,BraTS2021_00064
348,BraTS2021_01495
349,BraTS2021_00316
350,BraTS2021_00090
351,BraTS2021_01334
352,BraTS2021_01149
353,BraTS2021_01641
354,BraTS2021_00677
355,BraTS2021_01192
356,BraTS2021_01177
357,BraTS2021_01032
358,BraTS2021_00575
359,BraTS2021_00789
360,BraTS2021_00043
361,BraTS2021_01451
362,BraTS2021_01258
363,BraTS2021_00159
364,BraTS2021_00045
365,BraTS2021_01121
366,BraTS2021_00349
367,BraTS2021_00227
368,BraTS2021_01398
369,BraTS2021_00373
370,BraTS2021_00262
371,BraTS2021_01638
372,BraTS2021_01197
373,BraTS2021_00087
374,BraTS2021_01442
375,BraTS2021_00105
376,BraTS2021_00750
377,BraTS2021_01043
378,BraTS2021_00485
379,BraTS2021_01284
380,BraTS2021_00793
381,BraTS2021_00288
382,BraTS2021_01382
383,BraTS2021_00667
384,BraTS2021_01081
385,BraTS2021_00425
386,BraTS2021_01069
387,BraTS2021_01654
388,BraTS2021_00127
389,BraTS2021_01172
390,BraTS2021_01569
391,BraTS2021_01023
392,BraTS2021_01666
393,BraTS2021_00757
394,BraTS2021_00149
395,BraTS2021_01293
396,BraTS2021_01479
397,BraTS2021_01345
398,BraTS2021_00800
399,BraTS2021_00399
400,BraTS2021_00765
401,BraTS2021_00538
402,BraTS2021_01589
403,BraTS2021_00715
404,BraTS2021_00146
405,BraTS2021_00140
406,BraTS2021_01611
407,BraTS2021_01313
408,BraTS2021_00195
409,BraTS2021_00191
410,BraTS2021_01112
411,BraTS2021_01466
412,BraTS2021_01285
413,BraTS2021_01142
414,BraTS2021_00369
415,BraTS2021_00640
416,BraTS2021_01063
417,BraTS2021_01092
418,BraTS2021_00170
419,BraTS2021_01328
420,BraTS2021_00371
421,BraTS2021_00367
422,BraTS2021_01558
423,BraTS2021_01266
424,BraTS2021_01553
425,BraTS2021_00183
426,BraTS2021_01224
427,BraTS2021_01305
428,BraTS2021_01056
429,BraTS2021_00204
430,BraTS2021_01341
431,BraTS2021_00391
432,BraTS2021_00733
433,BraTS2021_01147
434,BraTS2021_01457
435,BraTS2021_01026
436,BraTS2021_00744
437,BraTS2021_00429
438,BraTS2021_00824
439,BraTS2021_01225
440,BraTS2021_01104
441,BraTS2021_00725
442,BraTS2021_01052
443,BraTS2021_01054
444,BraTS2021_01377
445,BraTS2021_01110
446,BraTS2021_01120
447,BraTS2021_00441
448,BraTS2021_01356
449,BraTS2021_00501
450,BraTS2021_01465
451,BraTS2021_01571
452,BraTS2021_01237
453,BraTS2021_00539
454,BraTS2021_01074
455,BraTS2021_01174
456,BraTS2021_01292
457,BraTS2021_01371
458,BraTS2021_01374
459,BraTS2021_01279
460,BraTS2021_01035
461,BraTS2021_01568
462,BraTS2021_00709
463,BraTS2021_01643
464,BraTS2021_00311
465,BraTS2021_01031
466,BraTS2021_01311
467,BraTS2021_01098
468,BraTS2021_01509
469,BraTS2021_00622
470,BraTS2021_01017
471,BraTS2021_01498
472,BraTS2021_00739
473,BraTS2021_00005
474,BraTS2021_01645
475,BraTS2021_00321
476,BraTS2021_00468
477,BraTS2021_01203
478,BraTS2021_01030
479,BraTS2021_01636
480,BraTS2021_01019
481,BraTS2021_00085
482,BraTS2021_00708
483,BraTS2021_00270
484,BraTS2021_01340
485,BraTS2021_01580
486,BraTS2021_01594
487,BraTS2021_01214
488,BraTS2021_00380
489,BraTS2021_00646
490,BraTS2021_01488
491,BraTS2021_01355
492,BraTS2021_00638
493,BraTS2021_01146
494,BraTS2021_00383
495,BraTS2021_00432
496,BraTS2021_00151
497,BraTS2021_01576
498,BraTS2021_00021
499,BraTS2021_01637
500,BraTS2021_00178
501,BraTS2021_00453
502,BraTS2021_01572
503,BraTS2021_01013
504,BraTS2021_01204
505,BraTS2021_01320
506,BraTS2021_01617
507,BraTS2021_01430
508,BraTS2021_01647
509,BraTS2021_00134
510,BraTS2021_00479
511,BraTS2021_01113
512,BraTS2021_01536
513,BraTS2021_01565
514,BraTS2021_00674
515,BraTS2021_00668
516,BraTS2021_01097
517,BraTS2021_01189
518,BraTS2021_01607
519,BraTS2021_01447
520,BraTS2021_01024
521,BraTS2021_00253
522,BraTS2021_01058
523,BraTS2021_00405
524,BraTS2021_00341
525,BraTS2021_01605
526,BraTS2021_00051
527,BraTS2021_00331
528,BraTS2021_01429
529,BraTS2021_00663
530,BraTS2021_00464
531,BraTS2021_00063
532,BraTS2021_01343
533,BraTS2021_00519
534,BraTS2021_01525
535,BraTS2021_01369
536,BraTS2021_01489
537,BraTS2021_00414
538,BraTS2021_01333
539,BraTS2021_00580
540,BraTS2021_01511
541,BraTS2021_01282
542,BraTS2021_01633
543,BraTS2021_00133
544,BraTS2021_00605
545,BraTS2021_01241
546,BraTS2021_00193
547,BraTS2021_01392
548,BraTS2021_01378
549,BraTS2021_00282
550,BraTS2021_00774
551,BraTS2021_01045
552,BraTS2021_01231
553,BraTS2021_01254
554,BraTS2021_01411
555,BraTS2021_00590
556,BraTS2021_00003
557,BraTS2021_01524
558,BraTS2021_00443
559,BraTS2021_00116
560,BraTS2021_00734
561,BraTS2021_00706
562,BraTS2021_01173
563,BraTS2021_00444
564,BraTS2021_00403
565,BraTS2021_00211
566,BraTS2021_00565
567,BraTS2021_01412
568,BraTS2021_01084
569,BraTS2021_00802
570,BraTS2021_00206
571,BraTS2021_01264
572,BraTS2021_01230
573,BraTS2021_00532
574,BraTS2021_01304
575,BraTS2021_00318
576,BraTS2021_00336
577,BraTS2021_00728
578,BraTS2021_01195
579,BraTS2021_01512
580,BraTS2021_01390
581,BraTS2021_01193
582,BraTS2021_00499
583,BraTS2021_01277
584,BraTS2021_00616
585,BraTS2021_01408
586,BraTS2021_01057
587,BraTS2021_01646
588,BraTS2021_00625
589,BraTS2021_01037
590,BraTS2021_01128
591,BraTS2021_01435
592,BraTS2021_00781
593,BraTS2021_01170
594,BraTS2021_01547
595,BraTS2021_01627
596,BraTS2021_00777
597,BraTS2021_00402
598,BraTS2021_01247
599,BraTS2021_00682
600,BraTS2021_00494
601,BraTS2021_01587
602,BraTS2021_01106
603,BraTS2021_01316
604,BraTS2021_00836
605,BraTS2021_01114
606,BraTS2021_00143
607,BraTS2021_00377
608,BraTS2021_01516
609,BraTS2021_00289
610,BraTS2021_01131
611,BraTS2021_00597
612,BraTS2021_01306
613,BraTS2021_01552
614,BraTS2021_00688
615,BraTS2021_01420
616,BraTS2021_01518
617,BraTS2021_00510
618,BraTS2021_01137
619,BraTS2021_01082
620,BraTS2021_00737
621,BraTS2021_01033
622,BraTS2021_00158
623,BraTS2021_00137
624,BraTS2021_01388
625,BraTS2021_00530
626,BraTS2021_00543
627,BraTS2021_01543
628,BraTS2021_00751
629,BraTS2021_00112
630,BraTS2021_00554
631,BraTS2021_00028
632,BraTS2021_01294
633,BraTS2021_00343
634,BraTS2021_00033
635,BraTS2021_00207
636,BraTS2021_01459
637,BraTS2021_01419
638,BraTS2021_00839
639,BraTS2021_00325
640,BraTS2021_01443
641,BraTS2021_00382
642,BraTS2021_01068
643,BraTS2021_01181
644,BraTS2021_01551
645,BraTS2021_00686
646,BraTS2021_01327
647,BraTS2021_00577
648,BraTS2021_01464
649,BraTS2021_00012
650,BraTS2021_01494
651,BraTS2021_00477
652,BraTS2021_00165
653,BraTS2021_01310
654,BraTS2021_01008
655,BraTS2021_01318
656,BraTS2021_00258
657,BraTS2021_00110
658,BraTS2021_01556
659,BraTS2021_01095
660,BraTS2021_00549
661,BraTS2021_01575
662,BraTS2021_00520
663,BraTS2021_01563
664,BraTS2021_00035
665,BraTS2021_01639
666,BraTS2021_01105
667,BraTS2021_01153
668,BraTS2021_00676
669,BraTS2021_00196
670,BraTS2021_00493
671,BraTS2021_00266
672,BraTS2021_01566
673,BraTS2021_01007
674,BraTS2021_00254
675,BraTS2021_01227
676,BraTS2021_00328
677,BraTS2021_00269
678,BraTS2021_01206
679,BraTS2021_00694
680,BraTS2021_00758
681,BraTS2021_01472
682,BraTS2021_00104
683,BraTS2021_01379
684,BraTS2021_01152
685,BraTS2021_01027
686,BraTS2021_00469
687,BraTS2021_01517
688,BraTS2021_00379
689,BraTS2021_00209
690,BraTS2021_00747
691,BraTS2021_00544
692,BraTS2021_01433
693,BraTS2021_00011
694,BraTS2021_01179
695,BraTS2021_01298
696,BraTS2021_01649
697,BraTS2021_01663
698,BraTS2021_00131
699,BraTS2021_01422
700,BraTS2021_01533
701,BraTS2021_01586
702,BraTS2021_01364
703,BraTS2021_01501
704,BraTS2021_01463
705,BraTS2021_00070
706,BraTS2021_01602
707,BraTS2021_01040
708,BraTS2021_01210
709,BraTS2021_00350
710,BraTS2021_00176
711,BraTS2021_00504
712,BraTS2021_00201
713,BraTS2021_01662
714,BraTS2021_01389
715,BraTS2021_00056
716,BraTS2021_01163
717,BraTS2021_00154
718,BraTS2021_00088
719,BraTS2021_00095
720,BraTS2021_01626
721,BraTS2021_00795
722,BraTS2021_01471
723,BraTS2021_01445
724,BraTS2021_01118
725,BraTS2021_00009
726,BraTS2021_00338
727,BraTS2021_01573
728,BraTS2021_00410
729,BraTS2021_01401
730,BraTS2021_01274
731,BraTS2021_00077
732,BraTS2021_00574
733,BraTS2021_01449
734,BraTS2021_00753
735,BraTS2021_01066
736,BraTS2021_01431
737,BraTS2021_00303
738,BraTS2021_01156
739,BraTS2021_00828
740,BraTS2021_01619
741,BraTS2021_00122
742,BraTS2021_01287
743,BraTS2021_01244
744,BraTS2021_00084
745,BraTS2021_00234
746,BraTS2021_01085
747,BraTS2021_01499
748,BraTS2021_00615
749,BraTS2021_00558
750,BraTS2021_00150
751,BraTS2021_00630
752,BraTS2021_00796
753,BraTS2021_01049
754,BraTS2021_00756
755,BraTS2021_00078
756,BraTS2021_01661
757,BraTS2021_01418
758,BraTS2021_00147
759,BraTS2021_01188
760,BraTS2021_01077
761,BraTS2021_00805
762,BraTS2021_01478
763,BraTS2021_01107
764,BraTS2021_00459
765,BraTS2021_01201
766,BraTS2021_01360
767,BraTS2021_01531
768,BraTS2021_01103
769,BraTS2021_01139
770,BraTS2021_00390
771,BraTS2021_00478
772,BraTS2021_01314
773,BraTS2021_00423
774,BraTS2021_01218
775,BraTS2021_00511
776,BraTS2021_00448
777,BraTS2021_01157
